selected,Action,Record,PntName,PntType,DataType,Domain,Drop,Control,Description,Character,Unit,Set,Reset,FC,Location,Channel,ChType,IRefNum,ORefNum,Security,BD,EvHigh,EvLow,InitAS,InitAS2,InitValue,DpuSave,History,MathDeal,ValueLimit,Filter,SOE,Reverse,HSRDB,SendAlarm,SHighAlarm,SLowAlarm,HighSetAlarm,LowResetAlarm,AlarmDB,HighLimit,LowLimit,HAlarmAddr,LAlarmAddr,SensorType,SensorParam,C0,C1,C2,C3,C4,C5,SensorHigh,SensorLow,FilterFactor,HighAlarmPriority,LowAlarmPriority
选中,动作,记录类型,点名,类型,数据类型,域,站,控制区,描述,特征字,工程单位,1描述,描述,功能分类,卡位,通道,通道类型,输入引用计数,输出引用计数,安全字,周期,量程上限,量程下限,初始状态字1,初始状态字2,初始值,定时保存,保存历史,信号处理方式,限值检查,滤波处理,SOE,反相,历史死区,发送报警,传感器高限报警,传感器低限报警,高限/1报警,低限/0报警,报警死区,报警上限,报警下限,变上限报警,变下限报警,传感器类型,传感器参数,C0,C1,C2,C3,C4,C5,传感器上限,传感器下限,滤波因子,高限/1报警优先级,低限/0报警优先级
Y,addUpdate,Point,DPU09TEMP,AP,Float32,43,9,1,DPU09内部温度,,,,,,,,,,2,x01,1,100,,x00,x00,,,1,,,,,,.5,,,,,,,100,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU09LOAD,AP,Float32,43,9,1,DPU09内部负荷,,,,,,,,,,1,x01,1,100,,x00,x00,,,1,,,,,,.5,,,,,,,100,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU09GP1,GP,Gp,43,9,1,,,,,,,,,,,2,x01,1,,,x00,x00,x00,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU09GP2,GP,Gp,43,9,1,,,,,,,,,,,6,x01,1,,,x00,x00,x00,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU09NETATXLOAD,AP,Float32,43,9,1,DPU09A网发送负荷,,,,,,,,,,1,x01,1,100,,x00,x00,,,1,,,,,,.5,,,,,,,100,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU09NETARXLOAD,AP,Float32,43,9,1,DPU09A网接收负荷,,,,,,,,,,1,x01,1,100,,x00,x00,,,1,,,,,,.5,,,,,,,100,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU09NETBTXLOAD,AP,Float32,43,9,1,DPU09B网发送负荷,,,,,,,,,,1,x01,1,100,,x00,x00,,,1,,,,,,.5,,,,,,,100,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU09NETBRXLOAD,AP,Float32,43,9,1,DPU09B网接收负荷,,,,,,,,,,1,x01,1,100,,x00,x00,,,1,,,,,,.5,,,,,,,100,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU09NETATXLOADALM,DP,Digital,43,9,1,DPU09A网发送负荷报警,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU09NETARXLOADALM,DP,Digital,43,9,1,DPU09A网接收负荷报警,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU09NETBTXLOADALM,DP,Digital,43,9,1,DPU09B网发送负荷报警,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU09NETBRXLOADALM,DP,Digital,43,9,1,DPU09B网接收负荷报警,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU09MEM,AP,Float32,43,9,1,DPU09内存使用率,,,,,,,,,,1,x01,1,100,,x00,x00,,,1,,,,,,.5,,,,,,,100,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU09DISK,AP,Float32,43,9,1,DPU09磁盘剩余空间,,,,,,,,,,1,x01,1,100,,x00,x00,,,1,,,,,,.5,,,,,,,100,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU09MEM_H,DP,Digital,43,9,1,DPU09内存高报警,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU09IOBUS,GP,Gp,43,9,1,,,,,,,,,,,15,x01,1,,,x00,x00,x00,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU09_OFF,DP,Digital,43,9,1,DPU09离线,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU09_NETA_F,DP,Digital,43,9,1,DPU09A网故障,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU09_NETB_F,DP,Digital,43,9,1,DPU09B网故障,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU09_MASTER,DP,Digital,43,9,1,DPU09在主控,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU09TEMPH1,DP,Digital,43,9,1,DPU09温度高报警,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU69TEMP,AP,Float32,43,9,1,DPU69内部温度,,,,,,,,,,2,x01,1,100,,x00,x00,,,1,,,,,,.5,,,,,,,100,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU69LOAD,AP,Float32,43,9,1,DPU69内部负荷,,,,,,,,,,1,x01,1,100,,x00,x00,,,1,,,,,,.5,,,,,,,100,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU69GP1,GP,Gp,43,9,1,,,,,,,,,,,2,x01,1,,,x00,x00,x00,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU69GP2,GP,Gp,43,9,1,,,,,,,,,,,6,x01,1,,,x00,x00,x00,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU69NETATXLOAD,AP,Float32,43,9,1,DPU69A网发送负荷,,,,,,,,,,1,x01,1,100,,x00,x00,,,1,,,,,,.5,,,,,,,100,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU69NETARXLOAD,AP,Float32,43,9,1,DPU69A网接收负荷,,,,,,,,,,1,x01,1,100,,x00,x00,,,1,,,,,,.5,,,,,,,100,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU69NETBTXLOAD,AP,Float32,43,9,1,DPU69B网发送负荷,,,,,,,,,,1,x01,1,100,,x00,x00,,,1,,,,,,.5,,,,,,,100,,,,,,,,,,,,,,,,
