selected,Action,Record,PntName,PntType,DataType,Domain,Drop,Control,Description,Character,Unit,Set,Reset,FC,Location,Channel,ChType,IRefNum,ORefNum,Security,BD,EvHigh,EvLow,InitAS,InitAS2,InitValue,DpuSave,History,MathDeal,ValueLimit,Filter,SOE,Reverse,HSRDB,SendAlarm,SHighAlarm,SLowAlarm,HighSetAlarm,LowResetAlarm,AlarmDB,HighLimit,LowLimit,HAlarmAddr,LAlarmAddr,SensorType,SensorParam,C0,C1,C2,C3,C4,C5,SensorHigh,SensorLow,FilterFactor,HighAlarmPriority,LowAlarmPriority
选中,动作,记录类型,点名,类型,数据类型,域,站,控制区,描述,特征字,工程单位,1描述,描述,功能分类,卡位,通道,通道类型,输入引用计数,输出引用计数,安全字,周期,量程上限,量程下限,初始状态字1,初始状态字2,初始值,定时保存,保存历史,信号处理方式,限值检查,滤波处理,SOE,反相,历史死区,发送报警,传感器高限报警,传感器低限报警,高限/1报警,低限/0报警,报警死区,报警上限,报警下限,变上限报警,变下限报警,传感器类型,传感器参数,C0,C1,C2,C3,C4,C5,传感器上限,传感器下限,滤波因子,高限/1报警优先级,低限/0报警优先级
Y,addUpdate,Point,DPU62IOBUS_0,DP,Digital,43,2,1,DPU62IOBUS重启,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU62IOBUS_1,DP,Digital,43,2,1,DPU62dpram重启,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU62IOBUS_2,DP,Digital,43,2,1,DPU6224V电源1故障,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU62IOBUS_3,DP,Digital,43,2,1,DPU6224V电源2故障,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU62IOBUS_6,DP,Digital,43,2,1,DPU62主板超温,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU62IOBUS_7,DP,Digital,43,2,1,DPU62IOBUS卡异常,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU62IOBUS_8,DP,Digital,43,2,1,DPU62IOBUS同步数据接收出错,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU62IOBUS_9,DP,Digital,43,2,1,DPU62控制器底座异常,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU62IOBUS_4_5_1,DP,Digital,43,2,1,DPU62gps断线故障,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU62IOBUS_4_5_0,DP,Digital,43,2,1,DPU62gps正常,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU62IOBUS_4_5_2,DP,Digital,43,2,1,DPU62gps解析故障,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Y,addUpdate,Point,DPU62IOBUS_4_5_3,DP,Digital,43,2,1,DPU62gps跳变故障,,,,,,,,,,1,x01,1,,,x00,x00,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
