域,站,页,步数,GP,算法名AZ,GPMSTA,GPMSTB,GPSTART,GPFDB,GPDEV01,GPDEV02,GPDEV03,GPDEV04,GPDEV05,GPDEV06,GPDEV07,GPDEV08,GPDEV09,GPDEV10,GPDEV11,GPDEV12,GPDEV13,GPDEV14,GPDEV15
63,21,170,5,G21P170,A21Z170,G21P170MSTA,G21P170MSTB,G21P170START,G21P170FDB,G21P170DEV01,G21P170DEV02,G21P170DEV03,G21P170DEV04,G21P170DEV05,,,,,,,,,,
63,21,172,5,G21P172,A21Z172,G21P172MSTA,G21P172MSTB,G21P172START,G21P172FDB,G21P172DEV01,G21P172DEV02,G21P172DEV03,G21P172DEV04,G21P172DEV05,,,,,,,,,,
